,actual,temperature,precipitation,air_density,cloud_cover
2012/1/16 1:00,24502.19495,14.239,0,1.221,0.409
2012/1/16 2:00,24090.56653,14.336,0,1.22,0.308
2012/1/16 3:00,24044.47994,14.309,0,1.218,0.256
2012/1/16 4:00,24574.39779,14.474,0,1.217,0.292
2012/1/16 5:00,26138.02167,15.077,0,1.215,0.356
2012/1/16 6:00,28477.96208,15.446,0.002,1.215,0.381
2012/1/16 7:00,29735.198,16.307,0.002,1.214,0.398
2012/1/16 8:00,30357.89548,18.118,0.002,1.211,0.428
2012/1/16 9:00,31506.91228,19.822,0.002,1.206,0.401
2012/1/16 10:00,32502.84634,21.58,0.002,1.2,0.3
2012/1/16 11:00,32818.22466,22.784,0.003,1.195,0.423
2012/1/16 12:00,32797.19534,23.418,0.005,1.191,0.483
2012/1/16 13:00,32760.81641,23.534,0.004,1.188,0.397
2012/1/16 14:00,32524.07541,23.215,0.003,1.188,0.284
2012/1/16 15:00,32230.73032,22.453,0.003,1.189,0.337
2012/1/16 16:00,32096.53836,21.186,0.003,1.192,0.477
2012/1/16 17:00,32887.16104,19.716,0.001,1.196,0.743
2012/1/16 18:00,34833.40019,18.908,0.001,1.2,0.632
2012/1/16 19:00,34645.62326,18.431,0.003,1.202,0.216
2012/1/16 20:00,33835.08104,18.141,0.006,1.202,0.268
2012/1/16 21:00,32466.67476,18.143,0.011,1.202,0.659
2012/1/16 22:00,30088.40238,18.316,0.013,1.201,0.922
2012/1/16 23:00,27507.77175,18.396,0.015,1.2,0.879
2012/1/17 0:00,25679.47332,18.443,0.017,1.199,0.54
2012/1/17 1:00,24630.00005,18.606,0.019,1.199,0.409
2012/1/17 2:00,24049.4655,18.57,0.018,1.198,0.586
2012/1/17 3:00,23959.8099,18.544,0.021,1.197,0.77
2012/1/17 4:00,24483.55484,18.598,0.028,1.196,0.74
2012/1/17 5:00,26608.71029,18.768,0.035,1.196,0.71
2012/1/17 6:00,30401.3818,19.153,0.057,1.196,0.735
2012/1/17 7:00,32234.40771,19.348,0.067,1.197,0.742
2012/1/17 8:00,32096.58649,20.168,0.078,1.196,0.768
2012/1/17 9:00,32637.15884,21.096,0.077,1.195,0.722
2012/1/17 10:00,33185.64123,22.206,0.068,1.191,0.582
2012/1/17 11:00,33485.1859,23.197,0.08,1.186,0.501
2012/1/17 12:00,33550.52998,23.694,0.097,1.183,0.514
2012/1/17 13:00,33736.56425,23.698,0.115,1.182,0.492
2012/1/17 14:00,33455.84434,23.168,0.133,1.184,0.453
2012/1/17 15:00,33326.77374,22.095,0.085,1.189,0.384
2012/1/17 16:00,33456.22493,20.18,0.064,1.197,0.31
2012/1/17 17:00,34297.59266,17.429,0.048,1.209,0.194
2012/1/17 18:00,36827.78616,15.24,0.025,1.22,0.133
2012/1/17 19:00,36968.19573,13.662,0.012,1.229,0.241
2012/1/17 20:00,36515.26501,12.524,0.009,1.235,0.349
2012/1/17 21:00,35287.19408,11.461,0.004,1.242,0.232
2012/1/17 22:00,33134.96574,10.124,0.002,1.25,0.133
2012/1/17 23:00,31065.5176,8.78,0,1.257,0.297
2012/1/18 0:00,29964.40139,7.702,0,1.263,0.495
2012/1/18 1:00,29679.91895,6.882,0,1.267,0.754
2012/1/18 2:00,29760.77899,6.222,0,1.27,0.469
2012/1/18 3:00,30340.49384,5.578,0,1.273,0.326
2012/1/18 4:00,31720.13334,5.031,0,1.275,0.168
2012/1/18 5:00,34975.26517,4.577,0,1.278,0.181
2012/1/18 6:00,40048.63502,4.051,0,1.28,0.202
